"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100207043010478_ereg_231",0.216,0.281,0.827,0.529,0.313,0.59,0.402,0,0.402
"100207293010661_ereg_212",0.855,0.868,0.542,0.401,0.516,0.399,0,0,0
"100208520010478_ereg_M221",0.764,0.648,0.548,0.514,0.222,0.16,0,0,0
"100208525010661_ereg_222",0.953,0.725,0.918,0.486,1.052,0.53,0.331,0,0.331
"100208576010478_ereg_M221",0.456,0.772,0.698,0.683,0.867,0.246,0,0,0
"100208647010661_ereg_222",0,0,0,0,0,0,0,0,0
"100208768010478_ereg_M221",0.177,0.811,1.703,0.33,0.237,0.23,0,0,0
"100208821010478_ereg_231",0.365,0.582,0.168,0.315,0.271,0.456,0,0,0
"100209051010661_ereg_212",1.094,0.721,0.505,0.481,0.388,0.408,0.254,0,0.254
"100209177010661_ereg_212",0.427,0.346,0.227,0.339,0.218,0.483,0.219,0,0.219
"100209237010478_ereg_231",0.477,0.62,0.269,0.448,0.16,0.531,0.228,0,0.228
"100209929010478_ereg_231",0.894,1.129,0.983,0.457,0.27,0.188,0,0,0
"100210010010478_ereg_231",0.953,1.032,0.551,0.805,0.416,0.621,0.497,0,0.497
"100210076010661_ereg_212",0.398,0.375,0.197,0.344,0.173,0.362,0.207,0,0.207
"100210088010478_ereg_231",0.142,0.249,0.077,0.289,0.172,0.361,0,0,0
"100210404010478_ereg_231",0.776,0.4,0.422,0.224,0.061,0.356,0,0,0
"100210868010661_ereg_212",0.533,0.314,0.134,0.924,0.486,0.753,0.374,0,0.374
"100210951010661_ereg_212",0.746,0.628,0.236,0.969,0.515,0.767,0.399,0,0.399
"100211035010661_ereg_212",0.52,0.431,0.246,0.419,0.259,0.628,0.288,0,0.288
"100211195010661_ereg_212",1.308,0.804,0.422,0.554,0.522,0.067,0,0,0
"100211288010661_ereg_212",1.014,0.576,0.286,0.358,0.284,0.069,0,0,0
"100211717010478_ereg_232",0.646,0.906,0.547,0.513,0.21,0.546,0,0,0
"100211786010478_ereg_232",0.519,0.683,0.9,0.627,0.333,0.599,0.496,0,0.496
"100211797010661_ereg_222",0.301,0.783,0.512,0.685,0.835,0.926,0,0,0
"100211879010661_ereg_222",0.741,0.882,1.032,0.707,1.545,0.461,0.382,0,0.382
"100211919010478_ereg_231",0.228,0.317,0.499,0.489,0.204,0.319,0.209,0,0.209
"100212005010661_ereg_222",0.241,0.287,0.157,0.406,0.388,0.318,0,0,0
"100212084010478_ereg_M221",0.56,0.775,0.795,0.967,0.617,0.712,0.47,0,0.47
"100212435010478_ereg_M221",0.4,0.644,0.738,0.395,0.664,0.258,0.302,0,0.302
"100212833010661_ereg_212",0.617,0.772,0.568,0.694,0.756,0.88,0.422,0,0.422
"100213174010661_ereg_212",0.771,0.84,0.619,0.603,0.412,0.222,0,0,0
"100213264010478_ereg_231",0.995,0.79,1.054,0.808,0.355,0.719,0.499,0,0.499
"100213333010661_ereg_212",0.066,0.173,0.204,0.1,0.193,0.053,0,0,0
"100213721010478_ereg_231",0.478,0.473,0.945,1.087,0.311,0.439,0.292,0,0.292
"100213788010478_ereg_231",0.862,0.865,0.926,0.767,0.33,0.569,0.499,0,0.499
"100213883010661_ereg_212",0.612,0.885,1.397,0.648,0.595,1.085,0.495,0,0.495
"100214023010661_ereg_212",0.745,0.997,0.55,0.424,0.283,0.709,0,0,0
"100214350010661_ereg_212",0.743,0.855,0.547,0.578,0.378,0.602,0.283,0,0.283
"100214356010478_ereg_231",0.993,0.698,0.885,0.75,0.259,0.558,0.405,0,0.405
"100214795010478_ereg_M221",0.649,0.559,0.246,0.308,0.155,0.413,0,0,0
"100214981010478_ereg_M221",0.463,0.506,0.223,0.366,0.154,0.359,0,0,0
"100215070010478_ereg_M221",0.73,0.805,0.498,0.9,0.422,1.136,0.492,0,0.492
"100215139010661_ereg_212",0.47,0.48,0.406,0.457,0.997,0.432,0,0,0
"100215148010478_ereg_M221",0.533,0.706,0.355,0.327,0.26,0.628,0,0,0
"100215204010478_ereg_221",0.074,0.461,0.993,0.591,0.243,0.163,0,0,0
"100215242010661_ereg_212",0.184,0.566,0.459,0.505,0.921,0.431,0.2,0,0.2
"100215269010478_ereg_221",0.202,0.265,1.191,0.64,0.805,0.538,0.283,0,0.283
"100215409010478_ereg_231",0.874,0.809,0.757,0.501,0.745,0.321,0,0,0
"100215420010661_ereg_212",0.452,0.532,0.544,0.512,0.91,0.586,0.257,0,0.257
"100215569010661_ereg_212",0.885,1.007,0.873,0.488,0.314,0.494,0.366,0,0.366
"100215666010661_ereg_212",0.039,0.049,0.157,0.033,0.019,0.263,0,0,0
"100216135010478_ereg_M221",0.555,0.832,0.715,0.468,0.836,0.315,0.096,0,0.096
"100216362010478_ereg_M221",0.538,0.859,0.854,0.507,0.238,0.379,0,0,0
"100216499010661_ereg_212",0.338,0.501,0.512,0.383,0.36,0.397,0.231,0,0.231
