"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100190982010661_ereg_212",-0.483,-0.282,-0.16,-0.262,0.074,-0.027,0.951,0,0.049
"100191055010478_ereg_M221",1.112,0.369,0.581,-0.026,-0.685,-0.006,0.857,0,0.143
"100191116010478_ereg_M221",0.316,0.038,0.486,0.398,-0.154,0.67,1,0,0
"100191143010661_ereg_212",0.687,-0.323,1.378,-0.285,-0.534,-0.403,0.609,0,0.391
"100191165010478_ereg_M221",1.018,0.272,0.318,0.249,-0.602,0.47,1,0,0
"100191228010478_ereg_M221",0.685,0.495,0.335,0.08,-0.591,0.277,0.812,0,0.188
"100191300010478_ereg_M221",0.245,0.087,0.313,-0.334,-0.721,0.11,0.763,0,0.237
"100191372010478_ereg_M221",0.446,-0.669,0.898,0.473,-0.715,0.288,0.995,0,0.005
"100191525010478_ereg_M221",0.688,0.51,0.002,-0.136,-0.601,0.319,1,0,0
"100191655010478_ereg_M221",0.065,-0.905,1.152,0.524,-0.579,0.267,1,0,0
"100191832010478_ereg_232",-0.072,-0.153,0.899,-0.249,-0.531,-0.006,0.883,0,0.117
"100192068010478_ereg_232",-0.622,-0.093,1.759,-1.232,-0.785,-0.708,0.282,0,0.718
"100192274010661_ereg_212",-0.096,-0.111,-0.05,-0.108,-0.071,-0.065,0.921,0,0.079
"100192484010478_ereg_231",0.686,0.003,0.543,0.122,-0.485,0.14,0.928,0,0.072
"100192538010661_ereg_212",-0.974,-1.191,-0.083,-1.06,-0.728,-0.602,0.182,0,0.818
"100193070010661_ereg_212",0.064,-0.141,0.688,0.578,0.994,0.559,1,0,0
"100193152010478_ereg_232",0.24,-0.104,0.82,-0.667,-0.792,-0.513,0.506,0,0.494
"100193180010661_ereg_212",0.288,0.13,0.383,0.276,0.38,0.345,1,0,0
"100193427010478_ereg_231",0.9,0.333,0.466,-0.154,-0.716,0.272,1,0,0
"100193464010661_ereg_212",-0.074,-0.088,-0.045,-0.081,-0.055,-0.058,0.939,0,0.061
"100193557010478_ereg_231",-0.113,-0.533,0.658,-0.021,-0.521,0.196,1,0,0
"100193666010478_ereg_231",1.062,0.696,0.423,0.016,-0.415,-0.023,0.988,0,0.012
"100194115010478_ereg_232",0.661,0.51,0.596,0.232,-0.612,0.521,1,0,0
"100194430010661_ereg_212",-0.448,-0.449,-0.258,0.003,-0.024,0.063,1,0,0
"100194986010661_ereg_212",-0.302,-0.342,-0.205,0.035,0.01,0.027,1,0,0
"100195201010661_ereg_212",-0.671,-0.305,-0.118,0.148,0.046,0.513,1,0,0
"100195308010661_ereg_212",-0.143,-0.118,-0.455,0.516,0.078,0.562,1,0,0
"100195360010478_ereg_232",0.192,0.332,1.418,-0.766,-0.704,-0.465,0.562,0,0.438
"100195419010661_ereg_212",-0.782,-0.978,-0.413,0.753,0.076,0.332,1,0,0
"100195577010478_ereg_232",-0.55,-0.225,1.523,-0.909,-0.64,-0.486,0.502,0,0.498
"100195934010661_ereg_212",-0.084,-0.06,-0.045,-0.149,0.151,-0.137,1,0,0
"100196153010661_ereg_212",-0.195,-0.332,-0.261,-0.327,-0.125,0.057,0.931,0,0.069
"100196336010478_ereg_231",-0.662,-0.494,0.376,0.005,-0.369,0.103,0.928,0,0.072
"100196443010661_ereg_212",0.437,-0.488,1.321,-0.225,-0.444,-0.298,0.598,0,0.402
"100196769010661_ereg_222",0.687,0.214,0.258,0.003,-0.311,0.178,0.981,0,0.019
"100196865010478_ereg_231",-0.112,-0.093,0.276,-0.335,-0.37,0.026,1,0,0
"100197127010478_ereg_231",0.55,0.168,0.392,0.184,-0.299,0.156,0.983,0,0.017
"100197194010661_ereg_212",0.067,-0.428,0.053,-0.069,-0.356,0.056,0.89,0,0.11
"100197272010478_ereg_231",-0.619,-0.045,-0.429,-0.175,-0.451,0.324,0.918,0,0.082
"100197706010478_ereg_231",0.088,-0.561,0.904,0.468,-0.586,0.856,0.991,0,0.009
"100197821010478_ereg_231",0.709,0.137,0.592,0.343,-0.325,0.516,1,0,0
"100198032010661_ereg_212",-0.052,0.014,-0.142,0.441,0.581,1.076,1,0,0
"100198130010478_ereg_232",0.011,0.088,1.176,-0.595,-0.635,-0.37,0.682,0,0.318
"100198267010661_ereg_212",-0.434,-1.568,2.074,-0.984,-0.871,-1.198,0.009,0,0.991
"100198346010478_ereg_231",-0.352,-0.112,1.44,-1.019,-0.667,-0.628,0.428,0,0.572
"100198851010661_ereg_222",1.088,0.267,0.176,0.145,-0.544,0.497,0.907,0,0.093
"100198939010478_ereg_232",-0.12,0.06,0.864,-0.69,-0.583,-0.322,0.701,0,0.299
"100198952010661_ereg_222",1.293,0.544,0.526,0.011,-0.377,-0.045,0.97,0,0.03
"100199196010661_ereg_222",-0.034,-0.08,0.11,-0.029,-0.016,-0.052,0.961,0,0.039
"100199338010661_ereg_212",-0.077,-0.217,0.094,-0.208,-0.324,-0.224,0.719,0,0.281
"100199439010661_ereg_212",-0.149,-0.515,0.018,0.177,0.43,0.175,0.985,0,0.015
"100199562010661_ereg_212",-0.783,-0.817,-0.376,0.422,0.244,0.095,1,0,0
"100199705010661_ereg_212",-0.237,-0.588,-0.32,0.312,-0.009,0.094,1,0,0
"100199749010478_ereg_231",1.334,0.862,0.398,0.083,-0.415,0.003,1,0,0
"100199835010478_ereg_231",-0.108,-0.534,0.344,-0.595,-0.407,-0.888,0.318,0,0.682
"100199998010478_ereg_221",0.698,0.001,0.93,0.375,-0.545,0.232,1,0,0
"100200233010661_ereg_212",-0.916,-1.006,-0.375,0.677,0.656,0.147,1,0,0
"100200629010478_ereg_M221",0.997,0.663,0.452,-0.306,-0.829,0.035,0.82,0,0.18
"100200687010478_ereg_231",0.994,0.594,0.324,-0.295,-0.658,0.011,0.942,0,0.058
"100200831010661_ereg_222",0.979,0.563,0.077,-0.063,-0.481,0.012,1,0,0
"100200920010478_ereg_231",1.316,0.759,0.76,0.356,-0.383,0.207,0.987,0,0.013
"100201037010478_ereg_231",0.829,0.824,0.884,-0.099,-0.599,-0.12,0.843,0,0.157
"100201304010661_ereg_212",0.324,-0.576,1.201,-0.016,0.129,-0.365,0.628,0,0.372
"100201455010478_ereg_M221",0.364,-0.004,0.401,-0.182,-0.798,0.251,0.945,0,0.055
"100201679010478_ereg_231",-0.164,-1.167,1.203,0.478,-0.548,0.174,0.898,0,0.102
"100202150010478_ereg_M221",0.369,-0.39,0.592,0.23,-0.559,0.378,1,0,0
"100202323010478_ereg_231",1.209,0.83,0.409,0.064,-0.571,0.33,1,0,0
"100202399010478_ereg_231",0.713,0.398,0.627,-0.222,-0.656,0.112,0.791,0,0.209
"100202469010478_ereg_231",1.262,0.977,0.26,0.003,-0.766,0.513,1,0,0
"100202538010661_ereg_212",-0.269,-0.061,-0.013,-0.049,0.229,0.746,0.907,0,0.093
"100202675010661_ereg_212",-1.562,-1.515,-0.579,0.654,0.255,0.064,0.848,0,0.152
"100202787010661_ereg_212",-0.786,-0.684,0.026,0.031,0.089,0.065,0.832,0,0.168
"100202906010478_ereg_M221",0.629,0.322,0.371,0.065,-0.49,0.649,0.95,0,0.05
"100202965010661_ereg_212",-0.084,0.159,0.466,0.107,0.512,0.466,0.968,0,0.032
"100203109010478_ereg_M221",0.069,-0.766,1.753,-0.745,-0.834,-0.832,0.269,0,0.731
"100203198010661_ereg_212",0.027,-0.297,0.692,0.708,1.156,0.556,1,0,0
"100203242010478_ereg_M221",1.402,0.413,0.014,0.235,-0.565,0.192,1,0,0
"100203328010478_ereg_M221",0.661,0.327,0.293,-0.331,-0.789,0.24,0.922,0,0.078
"100203430010661_ereg_212",-1.076,-1.059,-0.253,0.045,0.025,-0.125,0.701,0,0.299
"100203537010478_ereg_M221",1.236,0.725,0.229,0.32,-0.542,0.686,1,0,0
"100203601010478_ereg_M221",1.093,0.938,0.414,0.291,-0.575,0.707,0.923,0,0.077
"100203677010478_ereg_M221",1.017,0.783,0.546,0.157,-0.651,0.565,0.856,0,0.144
"100203713010661_ereg_212",-1.612,-1.464,-0.585,0.876,0.301,0.377,1,0,0
"100203741010478_ereg_M221",1.205,0.593,0.183,0.355,-0.028,0.126,1,0,0
"100203814010661_ereg_212",-0.207,0.009,0.759,-0.237,0.308,-0.022,0.752,0,0.248
"100203867010661_ereg_212",-0.339,0.026,0.306,-0.07,0.418,0.156,0.861,0,0.139
"100203891010478_ereg_M221",0.279,-0.083,0.907,-0.996,-1.097,-0.868,0.385,0,0.615
"100203987010478_ereg_M221",1.114,0.852,0.254,-0.157,-0.804,0.412,0.987,0,0.013
"100203998010661_ereg_212",-1.565,-0.361,-0.378,0.471,0.231,0.939,0.992,0,0.008
"100204053010478_ereg_M221",1.317,0.577,0.515,0.083,-0.421,0.108,0.98,0,0.02
"100204108010661_ereg_212",-0.346,-0.02,0.321,0.25,0.568,0.362,1,0,0
"100204160010478_ereg_M221",0.594,0.296,-0.073,0.216,-0.406,0.373,1,0,0
"100204299010661_ereg_212",-0.126,-0.155,0.007,0.034,0.31,0.539,0.974,0,0.026
"100204343010478_ereg_M221",0.586,0.182,0.695,-0.834,-1.047,-0.592,0.575,0,0.425
"100204444010478_ereg_M221",1.198,0.946,0.286,-0.075,-0.804,0.53,1,0,0
"100204523010478_ereg_M221",0.28,0.064,0.866,-0.661,-0.949,-0.535,0.401,0,0.599
"100204607010478_ereg_M221",0.521,-0.035,0.54,-0.11,-0.74,0.629,0.937,0,0.063
"100204788010661_ereg_212",-0.642,-0.636,0.379,-0.704,-0.329,-0.353,0.502,0,0.498
"100204953010661_ereg_212",-0.096,0.184,0.621,0.25,0.598,0.368,1,0,0
"100205155010478_ereg_M221",1.372,0.549,0.289,0.27,-0.415,0.202,1,0,0
"100205204010661_ereg_212",-1.646,-1.467,-0.583,0.926,0.336,0.421,1,0,0
"100205339010661_ereg_212",-0.231,-1.045,0.939,-0.549,-0.681,-0.792,0.337,0,0.663
"100205493010478_ereg_231",0.05,-0.55,0.426,0.094,-0.493,0.193,0.966,0,0.034
"100205646010478_ereg_M221",1.181,1.051,0.3,0.249,-0.632,0.75,0.97,0,0.03
"100205730010478_ereg_231",0.458,-0.111,0.432,0.031,-0.573,0.119,1,0,0
"100205940010478_ereg_M221",0.829,0.899,0.23,0.229,-0.283,0.318,1,0,0
"100206047010478_ereg_M221",1.018,0.702,0.584,0.196,-0.569,0.471,0.852,0,0.148
"100206216010661_ereg_212",-0.259,-0.361,-0.416,-0.265,-0.279,0.198,1,0,0
"100206318010661_ereg_212",-0.227,-0.47,0.334,-0.144,-0.128,-0.204,0.784,0,0.216
"100206506010661_ereg_212",1.284,0.333,0.099,0.297,-0.479,0.207,1,0,0
"100206536010478_ereg_M221",0.55,-0.125,0.692,0.183,-0.689,0.333,1,0,0
"100206660010478_ereg_M221",1.113,0.871,0.386,0.442,-0.543,0.824,1,0,0
"100206870010478_ereg_M221",0.51,0.294,0.751,-0.501,-0.92,-0.29,0.514,0,0.486
"100207043010478_ereg_231",-0.675,-0.479,0.943,-0.524,-0.499,-0.11,0.799,0,0.201
"100207293010661_ereg_212",-1.328,-1.153,-0.332,0.889,0.529,0.413,1,0,0
"100208520010478_ereg_M221",0.875,-0.057,0.298,0.038,-0.534,0.189,1,0,0
"100208525010661_ereg_222",0.48,-0.093,0.369,0.116,-0.011,0.006,0.876,0,0.124
"100208576010478_ereg_M221",-0.234,-0.59,0.799,0.734,-0.105,0.265,1,0,0
"100208647010661_ereg_222",0,0,0,0,0,0,1,0,0
"100208768010478_ereg_M221",-0.077,-0.619,0.086,0.624,-0.603,0.628,1,0,0
"100208821010478_ereg_231",1.231,1.147,0.315,0.309,-0.544,0.679,1,0,0
"100209051010661_ereg_212",0.888,0.012,-0.053,0.093,-0.481,0.044,0.931,0,0.069
"100209177010661_ereg_212",-0.164,-0.122,-0.11,-0.092,-0.077,0.005,0.95,0,0.05
"100209237010478_ereg_231",1.15,0.93,0.405,0.319,-0.529,0.726,0.945,0,0.055
"100209929010478_ereg_231",0.58,0.149,0.408,0.218,-0.505,0.216,1,0,0
"100210010010478_ereg_231",0.295,-0.194,0.852,-0.685,-0.866,-0.465,0.562,0,0.438
"100210076010661_ereg_212",-0.121,-0.101,0.009,-0.043,0.002,-0.056,0.955,0,0.045
"100210088010478_ereg_231",1.293,1.161,0.273,0.399,-0.58,0.816,1,0,0
"100210404010478_ereg_231",1.045,1.06,0.178,0.402,-0.522,0.885,1,0,0
"100210868010661_ereg_212",-1.529,-1.519,-0.61,0.606,0.158,0.066,0.835,0,0.165
"100210951010661_ereg_212",-1.053,-1.157,-0.534,0.16,-0.049,-0.1,0.802,0,0.198
"100211035010661_ereg_212",-0.217,-0.139,-0.108,-0.09,-0.077,-0.025,0.91,0,0.09
"100211195010661_ereg_212",0.094,-0.313,-0.225,0.166,-0.165,0.137,1,0,0
"100211288010661_ereg_212",0.962,0.133,-0.08,0.142,-0.474,0.169,1,0,0
"100211717010478_ereg_232",-0.128,-0.603,0.982,0.213,-0.617,0.359,1,0,0
"100211786010478_ereg_232",-0.435,-0.454,1.183,-0.959,-0.728,-0.614,0.431,0,0.569
"100211797010661_ereg_222",0.165,-0.047,0.332,0.33,0.374,0.862,1,0,0
"100211879010661_ereg_222",0.433,-0.297,0.647,0.317,0.794,-0.2,0.823,0,0.177
"100211919010478_ereg_231",-0.667,-0.688,0.927,-0.227,-0.551,0.168,0.954,0,0.046
"100212005010661_ereg_222",-0.145,-0.064,0.029,-0.075,0.339,-0.218,1,0,0
"100212084010478_ereg_M221",-0.697,-0.693,0.48,-0.141,-0.393,-0.103,0.672,0,0.328
"100212435010478_ereg_M221",-0.264,-1.629,2.497,-0.802,-0.743,-0.986,0.101,0,0.899
"100212833010661_ereg_212",-0.77,-0.092,0.281,-0.197,0.238,0.293,0.769,0,0.231
"100213174010661_ereg_212",-0.588,-0.422,-0.054,0.145,0.194,0.228,1,0,0
"100213264010478_ereg_231",0.078,0.057,1.045,-0.74,-0.704,-0.423,0.544,0,0.456
"100213333010661_ereg_212",0.107,0.53,0.745,0.027,0.507,0.331,1,0,0
"100213721010478_ereg_231",-0.525,-0.403,0.475,0.049,-0.385,0.064,0.906,0,0.094
"100213788010478_ereg_231",-0.025,-0.073,1.3,-0.918,-0.883,-0.558,0.529,0,0.471
"100213883010661_ereg_212",-0.716,-0.719,0.48,-0.381,-0.272,-0.131,0.574,0,0.426
"100214023010661_ereg_212",-1.37,-0.993,-0.359,0.836,0.492,0.613,1,0,0
"100214350010661_ereg_212",-0.388,0.049,0.456,0.064,0.408,0.253,0.913,0,0.087
"100214356010478_ereg_231",0.785,0.544,0.883,-0.258,-0.594,-0.1,0.794,0,0.206
"100214795010478_ereg_M221",1.122,0.689,0.088,0.266,-0.52,0.537,1,0,0
"100214981010478_ereg_M221",1.139,0.969,0.191,0.329,-0.55,0.791,1,0,0
"100215070010478_ereg_M221",0.624,0.434,0.673,-0.419,-0.901,-0.152,0.593,0,0.407
"100215139010661_ereg_212",-0.012,0.263,0.479,0.347,1.147,0.275,1,0,0
"100215148010478_ereg_M221",1.131,1.056,0.268,0.252,-0.549,0.611,1,0,0
"100215204010478_ereg_221",-0.243,-0.809,0.287,-0.012,-0.528,0.202,1,0,0
"100215242010661_ereg_212",0.081,0.264,0.541,0.109,0.757,0.155,0.958,0,0.042
"100215269010478_ereg_221",-0.53,-0.988,-0.082,-0.716,-0.327,-1.338,0.087,0,0.913
