"temp","prec","therm","deficit","moisture"
"100204343010478_ereg_M221",6.685,1134.887,1173.139,1301.841,-0.198
"100204444010478_ereg_M221",8.195,1080.129,1076.253,1384.485,-0.981
"100204523010478_ereg_M221",7.022,1015.636,554.913,1895.701,-0.01
"100204607010478_ereg_M221",9.717,1099.489,663.764,2175.5,-0.274
"100204788010661_ereg_212",-4.905,896.83,148.383,1816.612,-0.693
"100204953010661_ereg_212",-6.197,977.868,137.365,1767.494,-0.485
"100205155010478_ereg_M221",5.353,1410.716,1055.758,1136.617,-0.712
"100205204010661_ereg_212",-6.215,843.511,228.827,1843.627,0
"100205339010661_ereg_212",-7.427,750.465,180.968,1838.404,-1
"100205493010478_ereg_231",9.238,1137.991,653.964,2212.782,-0.498
"100205646010478_ereg_M221",10.197,1205.445,1466.442,1201.592,-1
"100205730010478_ereg_231",9.84,1083.897,708.964,2395.007,0.016
"100205940010478_ereg_M221",5.013,1054.562,762.76,1665.749,-0.999
"100206047010478_ereg_M221",4.263,1030.023,700.495,1584.991,0
"100206216010661_ereg_212",-7.058,849.782,362.058,1724.349,0.451
"100206318010661_ereg_212",-7.62,774.535,235.793,1942.647,-0.208
"100206506010661_ereg_212",-5.965,726.786,107.89,2175.657,-0.215
"100206536010478_ereg_M221",8.105,1102.807,536.779,2120.781,-0.84
"100206660010478_ereg_M221",6.8,1038.307,779.824,1711.78,-0.253
"100206870010478_ereg_M221",7.145,1079.177,499.869,2026.725,-1
"100207043010478_ereg_231",10.552,1131.031,708.615,2318.441,0.085
"100207293010661_ereg_212",-7.473,773.047,372.189,1782.257,0.133
"100208520010478_ereg_M221",8.8,1102.885,1574.536,963.689,0
"100208525010661_ereg_222",-1.188,881.714,726.033,1710.758,-1
"100208576010478_ereg_M221",8.835,1094.753,1603.764,1019.802,0.035
"100208647010661_ereg_222",1.025,893.979,741.253,1742.082,0
"100208768010478_ereg_M221",7.987,1123.315,740.533,1985.54,0.137
"100208821010478_ereg_231",8.883,1129.205,638.942,2217.187,0.394
"100209051010661_ereg_212",-4.395,774.393,562.946,1200.69,-0.108
"100209177010661_ereg_212",-5.418,775.84,554.486,1557.737,0.688
"100209237010478_ereg_231",10.22,1087.102,701.289,2299.332,-0.21
"100209929010478_ereg_231",12.082,1124.566,964.991,2161.131,-0.005
"100210010010478_ereg_231",9.287,1124.423,662.813,2307.786,-0.339
"100210076010661_ereg_212",1.955,746.168,497.691,1188.84,0.425
"100210088010478_ereg_231",11.665,1064.136,942.179,2152.72,0.002
"100210404010478_ereg_231",11.973,1090.198,942.34,2125.991,0
"100210868010661_ereg_212",-5.803,779.902,361.747,1814.078,-0.078
"100210951010661_ereg_212",-4.457,773.253,233.614,1896.868,0.236
"100211035010661_ereg_212",-4.98,797.274,351.125,1693.634,0.808
"100211195010661_ereg_212",-5.58,780.664,354.171,1816.687,-0.702
"100211288010661_ereg_212",-6.207,770.47,378.881,1427.698,0.003
"100211717010478_ereg_232",9.887,1090.635,1245.242,1539.281,-0.027
"100211786010478_ereg_232",9.977,1100.23,883.948,1982.429,-0.272
"100211797010661_ereg_222",-4.373,781.146,114.787,2318.019,0.065
"100211879010661_ereg_222",-4.082,802.543,116.743,2208.732,-0.465
"100211919010478_ereg_231",10.863,1109.92,945.611,2076.428,0
"100212005010661_ereg_222",-3.762,802.071,115.84,2265.768,0.494
"100212084010478_ereg_M221",8.242,1037.594,1136.449,1418.206,0.966
"100212435010478_ereg_M221",7.9,1132.063,770.978,1894.992,1
"100212833010661_ereg_212",-4.977,839.392,558.657,1145.963,0
"100213174010661_ereg_212",-8.115,887.74,546.709,1123.222,0
"100213264010478_ereg_231",11.265,1074.103,945.66,2088.637,0.541
"100213333010661_ereg_212",-7.095,890.592,138.793,1794.851,0.061
"100213721010478_ereg_231",12.11,1091.962,954.799,2113.526,0.515
"100213788010478_ereg_231",11.32,1110.711,920.731,1998.935,0.226
"100213883010661_ereg_212",-8.405,806.123,205.743,1660.958,0.283
"100214023010661_ereg_212",-8.812,961.769,771.599,890.735,0
"100214350010661_ereg_212",-5.5,805.105,300.615,1403.253,-0.056
"100214356010478_ereg_231",12.503,1124.434,1047.115,2274.176,-0.575
"100214795010478_ereg_M221",6.26,1114.56,1116.858,1224.56,-0.469
"100214981010478_ereg_M221",8.627,1073.122,568.354,2126.829,0.529
"100215070010478_ereg_M221",8.79,1106.266,1140.9,1430.27,-1
"100215139010661_ereg_212",-10.393,814.427,145.503,1729.208,-0.389
"100215148010478_ereg_M221",8.2,1118.093,822.415,1834.383,-0.275
"100215204010478_ereg_221",10.845,1111.93,936.991,2136.068,0.307
"100215242010661_ereg_212",-7.715,791.326,184.068,1727.7,0.504
"100215269010478_ereg_221",10.33,1081.698,908.342,2060.699,0.433
"100215409010478_ereg_231",10.055,1095.699,711.101,2408.89,0
"100215420010661_ereg_212",-3.57,801.165,708.155,1346.532,-0.021
