"","lon","lat","phys","slope","aspect"
"126143268010478",-82.862693,34.90938,2,41,52.5
"86115872010661",-103.746167,44.289751,2,7,75
"96412989010661",-103.711965,44.420581,2,15,65
"96443705010661",-103.94634,44.118323,2,8,230
"102481586010661",-103.863579,44.336077,2,37,350
"102481592010661",-103.745261,44.112756,2,10,20
"102547890010661",-103.998359,44.019832,2,0,0
"20651464010478",-84.660107,36.502208,2,52,28.5
"20635157010478",-85.235399,35.229681,2,38.5,9.5
"76835210010478",-87.571734,35.21249,2,48.5,213.5
"76857108010478",-88.040994,36.435797,2,21.5,353
"76868366010478",-86.341205,35.628736,2,37,297
"76841816010478",-87.129817,35.564554,2,2,0
"76846125010478",-85.304526,36.279758,2,24.5,18
"17542385010478",-95.397438,31.37786,2,0,0
"17523986010478",-95.544704,31.945546,2,0,0
"20003732010478",-94.023216,31.120953,2,0,0
"20058666010478",-93.923917,30.642747,2,0,0
"71273264010478",-95.798113,31.682007,2,0,0
"30757828010478",-77.581874,37.366927,2,8,31
"30536566010478",-77.161443,37.881081,2,0,0
"30671226010478",-78.166705,36.682038,2,0,0
"30744226010478",-79.8096,37.778306,1,54,235
"30644504010478",-78.246511,39.394363,2,10,330
"30747772010478",-82.135556,37.413243,2,72,245
"79183070010478",-76.37797,37.546917,2,11,305
"79188903010478",-79.500531,36.951862,2,24,320
"79192309010478",-77.350836,38.523022,2,40,168
"79192407010478",-77.469313,38.613891,2,10,30
"79210303010478",-79.829665,38.16962,2,32,230
"79195465010478",-79.055782,38.696162,2,90,85
"30801093010478",-81.971172,36.672635,1,26,197
"100213788010478",-77.773182,37.411316,2,0,0
"100199835010478",-78.454365,37.945375,2,12,336
