"latitude","longitude","elevation"
"164",37.9367,-77.6326,99.0077209472656
"165",44.9744,-84.0561,256.563171386719
"166",37.72,-77.432,71.3748626708984
"167",44.9049,-84.2729,385.021911621094
"168",37.7364,-77.6081,70.2797088623047
"169",43.1655,-86.292,196.873077392578
"170",37.9612,-75.4924,9.88296222686768
"171",43.2018,-86.1276,194.595947265625
"172",43.349,-86.2172,218.086791992188
"173",43.8037,-85.8283,264.952758789062
"174",43.74,-85.8575,267.41845703125
"175",43.6603,-85.5741,360.333374023438
"176",43.6008,-85.6154,303.213256835938
"177",37.8502,-78.5295,141.915954589844
"178",37.9454,-78.4544,134.623168945312
"179",38.151,-78.3555,131.933578491211
"180",43.6579,-85.7152,286.859924316406
"181",37.7724,-80.1761,663.047546386719
"182",37.2542,-77.8809,103.626075744629
"183",42.826,-83.568,306.676208496094
"184",37.4364,-77.889,97.5144882202148
"185",37.2473,-77.6619,75.6738204956055
"186",43.5692,-86.1102,242.3056640625
"187",37.5859,-79.3168,319.868072509766
"188",37.5076,-79.1686,229.171951293945
"189",37.641,-79.0977,293.125274658203
"190",37.4883,-78.8735,214.557723999023
"191",37.232,-78.8037,210.354507446289
"192",37.3132,-78.786,217.599136352539
"193",46.9171,-89.0842,255.868362426758
"194",46.8102,-89.4578,212.783081054688
"195",46.8484,-89.1138,282.702758789062
"196",38.0454,-78.8957,520.620727539062
"197",46.7691,-89.1516,223.248123168945
"198",38.0991,-79.3515,533.230529785156
"199",46.6576,-89.8075,503.466400146484
"200",38.1862,-79.3055,1090.70678710938
"201",37.9711,-79.1026,654.466369628906
"202",46.6665,-89.3256,360.903991699219
"203",37.9526,-78.9416,604.866394042969
"204",38.3426,-79.2282,706.521545410156
"205",38.2783,-79.2789,634.22314453125
"206",46.5116,-89.2334,387.370452880859
"207",38.0056,-79.9073,817.664306640625
"208",46.3525,-89.2771,478.503448486328
"209",46.8935,-89.2419,199.4697265625
"210",38.1483,-79.8562,576.637817382812
"211",38.2122,-79.7785,822.855285644531
"212",46.8015,-89.8179,235.962799072266
"213",38.037,-79.7067,541.056518554688
"214",46.8082,-89.6615,396.179290771484
"215",38.0989,-79.6544,521.285766601562
"216",46.8259,-89.2606,255.708053588867
"217",38.0608,-79.554,671.727722167969
"218",37.9516,-79.7841,651.142517089844
"219",37.9061,-79.7685,515.277648925781
"220",37.4637,-79.6783,381.415954589844
"221",46.7134,-89.6697,306.730499267578
"222",46.6456,-89.5374,431.354370117188
"223",37.5171,-79.5014,1108.63745117188
"224",46.7381,-89.3476,280.101837158203
"225",46.6067,-89.0231,344.566680908203
"226",37.4031,-79.371,301.893615722656
"227",37.5748,-79.4028,340.396636962891
"228",37.3457,-79.4128,242.065551757812
"229",37.1756,-81.2627,904.2744140625
"230",37.1651,-81.0947,795.744750976562
"231",43.9804,-85.2731,402.715698242188
"232",44.8481,-84.3262,374.042144775391
"233",44.8147,-83.9605,299.023986816406
"234",37.6849,-79.7356,653.524475097656
"235",37.7533,-79.6996,600.954162597656
"236",37.5343,-79.9688,738.514465332031
"237",36.7403,-77.9723,76.8708801269531
"238",44.524,-83.9501,376.201477050781
"239",37.2639,-81.8621,694.288269042969
"240",42.9662,-86.0362,190.444244384766
"241",37.2399,-81.9091,579.792724609375
"242",37.4252,-81.944,530.456359863281
"243",37.4853,-78.7163,278.982177734375
"244",45.4505,-84.1978,197.864135742188
"245",45.3798,-83.9396,263.969207763672
"246",37.3923,-78.5798,178.691192626953
"247",37.6188,-78.7779,181.478500366211
"248",37.7008,-78.5927,171.391967773438
"249",45.2349,-83.4268,189.979141235352
"250",37.2905,-79.227,254.879409790039
"251",37.334,-79.0692,279.927764892578
"252",44.1961,-84.6254,387.324584960938
"253",44.2155,-84.8108,335.471008300781
"254",44.4481,-84.8476,351.879852294922
"255",44.2104,-84.4328,311.181091308594
"256",44.4538,-84.6634,354.541381835938
"257",38.1883,-77.2994,62.8482398986816
"258",38.0972,-77.3858,50.5955390930176
"259",43.0368,-82.7649,236.182952880859
"260",43.0365,-82.5976,211.560653686523
"261",37.9443,-77.4638,66.244743347168
"262",42.96,-82.6192,201.56184387207
"263",36.8567,-80.7662,704.226867675781
"264",36.7843,-80.8144,786.692199707031
"265",46.4367,-89.4404,433.436126708984
"266",46.5589,-89.9228,396.152893066406
"267",36.9957,-78.476,180.722106933594
"268",46.4189,-89.9761,483.1787109375
"269",37.0841,-78.7397,132.260116577148
"270",37.4113,-77.7732,81.5662002563477
"271",46.202,-89.1894,519.067932128906
"272",46.5849,-89.7439,447.214508056641
"273",46.3464,-89.4435,464.41845703125
"274",37.4117,-77.4149,39.2119636535645
"275",37.5162,-80.2888,1002.08642578125
"276",37.5391,-80.1334,568.528564453125
"277",37.4962,-80.0198,707.984619140625
"278",46.1558,-89.0094,522.414428710938
"279",37.3852,-80.1946,532.12109375
"280",38.4486,-78.0396,151.805236816406
"281",46.3152,-89.3154,493.864501953125
"282",38.5821,-77.9584,129.874450683594
"283",37.4061,-78.4028,116.808006286621
"284",44.7444,-85.4033,258.034729003906
"285",44.6687,-85.4477,279.04541015625
"286",44.6615,-85.6078,214.916473388672
"287",37.1622,-82.3796,570.231872558594
"288",37.0407,-82.2875,704.841430664062
"289",47.2522,-88.3731,216.322692871094
"290",37.2743,-82.3227,586.914916992188
"291",47.0558,-88.8237,268.845947265625
"292",46.996,-88.8273,368.587463378906
"293",46.9898,-88.6326,250.724822998047
"294",46.9198,-88.8647,362.206939697266
"295",46.8374,-88.9137,379.937194824219
"296",46.8366,-88.7384,296.081695556641
"297",46.7073,-88.8062,335.079162597656
"298",38.8275,-77.9991,191.653244018555
"299",46.5245,-88.887,354.918609619141
"300",38.4251,-77.6818,58.3596076965332
"301",43.8,-82.9394,236.742599487305
"302",43.805,-83.3987,178.853851318359
"303",38.6631,-77.756,148.039947509766
"304",36.7682,-80.5046,896.307678222656
"305",43.8076,-82.8897,242.219863891602
"306",37.0042,-80.3859,656.1875
"307",36.9366,-80.3934,919.058471679688
"308",36.8292,-80.3818,862.333557128906
"309",37.0698,-80.1844,724.003051757812
"310",42.8426,-85.2626,253.509658813477
"311",37.84,-78.1781,96.9599075317383
"312",44.3669,-83.8487,270.376098632812
"313",36.9123,-79.9317,411.323913574219
