"plotLon","plotLat"
"100239591010661_ereg_212",-84.7147,45.4467
"100239713010661_ereg_212",-84.5188,45.4328
"100240187010661_ereg_212",-84.6947,45.3029
"100240320010661_ereg_212",-84.5804,45.2916
"100240432010661_ereg_212",-84.4304,45.2937
"100241750010661_ereg_212",-85.1577,46.3732
"100242050010661_ereg_212",-84.6962,46.2197
"100242125010661_ereg_212",-84.223,46.0706
"100242375010661_ereg_212",-83.6957,46.0557
"100242540010661_ereg_212",-83.5443,45.9633
"100242676010661_ereg_212",-85.2213,46.5974
"100243052010661_ereg_212",-84.7533,46.4466
"100243176010661_ereg_212",-84.3263,46.2188
"100243653010661_ereg_212",-85.0219,46.2157
"100243866010661_ereg_212",-84.9601,46.4298
"100243993010661_ereg_212",-84.1773,46.1333
"100244185010661_ereg_212",-84.9753,46.3743
"100244438010661_ereg_212",-84.8679,46.222
"100244700010661_ereg_212",-85.0624,44.0554
"100244948010661_ereg_212",-84.6527,44.0109
"100245024010661_ereg_212",-85.0748,43.9588
"100246484010661_ereg_212",-84.6108,44.6004
"100246581010661_ereg_212",-84.7962,44.5928
"100246880010661_ereg_212",-84.7187,44.7563
"100246926010661_ereg_212",-84.4346,44.5924
"100247129010661_ereg_212",-87.0996,46.0963
"100247818010661_ereg_212",-87.1582,45.9486
"100248018010661_ereg_212",-86.9966,45.9015
"100248810010661_ereg_212",-83.4477,44.7601
"100249358010661_ereg_212",-83.8439,44.6866
"100249392010661_ereg_212",-83.4878,44.656
"100249534010661_ereg_212",-83.7148,44.6032
"100249720010661_ereg_212",-85.9444,46.5908
"100249813010661_ereg_212",-86.17,46.515
"100250260010661_ereg_212",-86.7416,46.4283
"100250341010661_ereg_212",-86.5729,46.4371
"100250795010661_ereg_212",-87.0093,46.2722
"100251190010661_ereg_212",-87.0435,46.1779
"100251542010661_ereg_212",-86.1395,46.5888
"100251625010661_ereg_212",-86.6464,46.2846
"100252055010661_ereg_222",-86.1607,42.7257
"100252179010661_ereg_222",-86.1011,42.746
"100254749010661_ereg_212",-83.9659,44.1448
"100254893010661_ereg_222",-83.6186,44.123
"100254946010661_ereg_212",-84.1522,44.073
"100255250010661_ereg_212",-88.3562,46.8529
"100255376010661_ereg_212",-88.167,46.8545
"100255509010661_ereg_212",-88.5377,46.8257
"100255675010661_ereg_212",-88.4111,46.7702
"100255889010661_ereg_212",-88.1968,46.7845
"100256201010661_ereg_212",-88.2561,46.7108
"100256613010661_ereg_212",-88.533,46.4668
"100256843010661_ereg_212",-88.1518,46.4715
"100256961010661_ereg_212",-88.3207,46.5483
"100257301010661_ereg_212",-88.6399,46.4407
"100257461010661_ereg_212",-88.6605,46.6257
"100258050010661_ereg_222",-85.2996,42.743
"100258139010661_ereg_212",-84.1004,43.833
"100258476010661_ereg_212",-85.9697,44.6495
"100258866010661_ereg_222",-86.3007,42.0341
"100259490010661_ereg_212",-86.5119,45.82
"100259881010661_ereg_212",-86.5517,45.7386
"100260549010661_ereg_212",-86.9013,46.0519
"100261016010661_ereg_212",-87.7764,46.1735
"100261107010661_ereg_212",-87.978,46.0995
"100261598010661_ereg_212",-87.6788,45.9421
"100261701010661_ereg_212",-88.09,45.8469
"100261809010661_ereg_212",-87.9202,45.8542
"100261926010661_ereg_212",-87.7126,45.8564
"100262463010661_ereg_212",-88.0217,46.0244
"100262657010661_ereg_212",-87.8774,45.9443
"100263569010661_ereg_212",-84.7533,45.318
"100264011010661_ereg_222",-83.5185,42.9152
"100264410010661_ereg_212",-84.4045,43.9046
"100264644010661_ereg_212",-84.2505,43.9153
"100264753010661_ereg_212",-89.8706,46.7018
"100265023010661_ereg_212",-90.084,46.5164
"100265328010661_ereg_212",-87.0937,46.4295
"100265512010661_ereg_212",-86.3652,46.4402
"100265899010661_ereg_212",-88.0771,46.716
"100266097010661_ereg_212",-84.7667,46.276
"100266296010661_ereg_212",-86.8003,45.9673
"100266677010661_ereg_212",-89.8344,46.3278
"100266945010661_ereg_212",-88.8688,46.1394
"100267213010661_ereg_212",-85.5888,46.05
"100268076010661_ereg_222",-83.5511,42.4321
"100494586010478_ereg_231",-89.9897,33.5318
"100495626010478_ereg_234",-90.0943,33.6178
"100496212010478_ereg_231",-89.6629,33.3285
"100496884010478_ereg_231",-88.8827,33.8406
"100497953010478_ereg_231",-89.0983,33.9298
"100503892010478_ereg_231",-90.7601,32.0928
"100504841010478_ereg_231",-90.8105,32.0039
"100505049010478_ereg_231",-90.8619,32.091
"100505121010478_ereg_231",-90.8568,32.0477
"100506467010478_ereg_231",-91.0674,31.9535
"100506595010478_ereg_231",-90.8034,31.8775
"100506752010478_ereg_231",-91.1205,31.9134
"100510900010478_ereg_231",-88.7377,32.0669
"100511564010478_ereg_231",-88.7968,31.8422
"100513856010478_ereg_231",-88.5474,32.2176
"100514222010478_ereg_231",-88.873,31.9499
"100515695010478_ereg_231",-88.5742,33.5498
"100516714010478_ereg_231",-88.9269,33.5921
"100518507010478_ereg_231",-90.2539,31.7653
"100518717010478_ereg_231",-90.3097,31.7205
"100519221010478_ereg_231",-90.3482,32.0169
"100519683010478_ereg_231",-90.4098,31.7699
"100520411010478_ereg_231",-90.4534,31.9799
"100522370010478_ereg_231",-90.6072,31.9378
